Day,Month,Year,Obs,Sim
6,10,1953,15.1021,12.72717757
7,10,1953,13.8527,11.56854683
8,10,1953,13.236,10.71036302
9,10,1953,13.1152,9.941938134
10,10,1953,11.7713,9.202400207
11,10,1953,11.2413,8.575196274
12,10,1953,10.9022,9.700519732
13,10,1953,11.3663,10.70970535
14,10,1953,13.1246,10.77120542
15,10,1953,12.9817,11.0795707
16,10,1953,12.6903,11.7068278
17,10,1953,12.7556,11.73291625
18,10,1953,13.263,11.21619743
19,10,1953,12.6892,10.52170597
20,10,1953,12.0847,10.12274636
21,10,1953,11.0797,9.677501494
22,10,1953,10.6473,9.494254027
23,10,1953,10.4839,9.542091848
24,10,1953,10.8189,12.97312219
25,10,1953,11.7124,14.20389091
26,10,1953,14.4206,23.84047871
27,10,1953,21.334,26.82532485
28,10,1953,34.0296,26.42494737
29,10,1953,25.5284,28.73941967
30,10,1953,22.8018,28.46510949
31,10,1953,27.36,34.9431303
1,11,1953,38.8977,47.31194881
2,11,1953,58.1615,51.25951897
3,11,1953,64.4793,50.88838237
4,11,1953,58.9761,46.41381019
5,11,1953,52.5813,39.09784597
6,11,1953,43.8237,33.4978955
7,11,1953,36.5627,30.9266106
8,11,1953,36.053,32.75965436
9,11,1953,37.4036,31.98299487
10,11,1953,37.0996,30.13021081
11,11,1953,33.1456,28.28049445
12,11,1953,31.5101,29.06272393
13,11,1953,35.4161,35.58389452
14,11,1953,45.5927,48.57445474
15,11,1953,76.2185,53.26971039
16,11,1953,77.177,52.4837545
17,11,1953,65.9767,48.34947493
18,11,1953,55.8061,41.74311916
19,11,1953,48.5325,35.35439399
20,11,1953,44.335,30.74786657
21,11,1953,39.6321,27.23337446
22,11,1953,36.5911,24.71424023
23,11,1953,33.7269,36.8176363
24,11,1953,54.0646,40.57131532
25,11,1953,66.3496,43.81465751
26,11,1953,57.4063,47.65178377
27,11,1953,60.7557,46.05530888
28,11,1953,57.8836,42.10092643
29,11,1953,50.5589,37.8485588
30,11,1953,45.3954,33.52170078
1,12,1953,41.5463,30.71371169
2,12,1953,39.271,39.26633161
3,12,1953,67.8697,74.58705978
4,12,1953,135.467,90.59189412
5,12,1953,111.881,96.67443845
6,12,1953,97.5732,88.0966613
7,12,1953,83.0628,73.20720286
8,12,1953,68.7836,62.63172457
9,12,1953,60.0637,54.17676842
10,12,1953,55.8902,47.90068098
11,12,1953,52.3634,43.10020551
12,12,1953,46.9671,42.2776518
13,12,1953,50.6721,42.98468727
14,12,1953,50.6026,41.40009316
15,12,1953,49.8389,38.86779179
16,12,1953,45.6783,35.95276416
17,12,1953,41.3493,33.26320669
18,12,1953,40.4462,31.74876244
19,12,1953,38.0176,30.16114481
20,12,1953,34.9492,29.56906159
21,12,1953,33.6527,30.2235129
22,12,1953,33.8472,29.8924725
23,12,1953,35.216,31.52724991
24,12,1953,36.5424,30.73349535
25,12,1953,36.9099,30.18266994
26,12,1953,35.0862,33.67297994
27,12,1953,39.03,33.23043413
28,12,1953,37.8982,31.83242356
29,12,1953,33.814,31.50551575
30,12,1953,30.3367,30.04444245
31,12,1953,26.615,28.11139723
1,1,1954,25.546,26.21319857
2,1,1954,28.3164,24.46569397
3,1,1954,28.5283,23.02968097
4,1,1954,27.4581,21.72393273
5,1,1954,25.7782,21.85651494
6,1,1954,24.4156,21.69336428
7,1,1954,24.3367,20.93545189
8,1,1954,23.8301,20.19451316
9,1,1954,22.5379,19.41270107
10,1,1954,22.3661,18.54401867
11,1,1954,22.3834,17.7875786
12,1,1954,22.5599,22.34832839
13,1,1954,24.2603,24.87286261
14,1,1954,30.7386,26.52005996
15,1,1954,30.8015,29.07976784
16,1,1954,29.8776,28.35450809
17,1,1954,26.469,26.54458415
18,1,1954,24.1353,25.98270696
19,1,1954,23.848,27.19497713
20,1,1954,28.2271,28.35392726
21,1,1954,31.0662,33.53452966
22,1,1954,35.7363,35.87055067
23,1,1954,42.0306,34.7399539
24,1,1954,38.8682,39.62941491
25,1,1954,44.0813,53.18857711
26,1,1954,70.4521,55.96611367
27,1,1954,60.7876,53.87103468
28,1,1954,50.0726,49.29423894
29,1,1954,40.9655,47.53679645
30,1,1954,36.301,42.9796883
31,1,1954,34.7258,38.82404699
1,2,1954,32.5976,35.27737241
2,2,1954,30.598,32.03251152
3,2,1954,29.181,29.22644421
4,2,1954,27.5262,26.87848126
5,2,1954,28.4613,24.87181048
6,2,1954,31.2372,30.93963575
7,2,1954,41.0253,39.12141304
8,2,1954,51.5089,46.75663837
9,2,1954,55.2051,57.17335249
10,2,1954,69.0559,66.51131466
11,2,1954,82.377,70.66773991
12,2,1954,83.9728,82.55506311
13,2,1954,102.912,90.49739706
14,2,1954,93.6913,87.88968552
15,2,1954,82.7175,79.95570116
